"","Electorate","Religious_Affiliation","Religious_Fraction"
"120","Kingston","Buddhism",0.00914081726478622
"121","Makin","Buddhism",0.0176640158380877
"122","Mayo","Buddhism",0.00902633809941083
"123","Port Adelaide","Buddhism",0.0560616890590359
"124","Sturt","Buddhism",0.0237590839612775
"125","Wakefield","Buddhism",0.0139169619289944
"126","Brand","Buddhism",0.0107357755546208
"127","Burt","Buddhism",0.0335756563160982
"128","Canning","Buddhism",0.0105671179777974
"129","Cowan","Buddhism",0.0428703113774079
"130","Curtin","Buddhism",0.0210712438673245
"131","Durack","Buddhism",0.0112013379987236
"132","Forrest","Buddhism",0.01004953711223
"133","Fremantle","Buddhism",0.0169620287204862
"134","Hasluck","Buddhism",0.0160207761825853
"135","Moore","Buddhism",0.0112150465570591
"136","O'Connor","Buddhism",0.00783633886248345
"137","Pearce","Buddhism",0.0121036734648966
"138","Perth","Buddhism",0.0323650298830491
"139","Stirling","Buddhism",0.0332382831504406
"140","Swan","Buddhism",0.0355877991691278
"141","Tangney","Buddhism",0.0400476337493936
"142","Bass","Buddhism",0.00872867146661406
"143","Braddon","Buddhism",0.00600671763275567
"144","Denison","Buddhism",0.0130248700925195
"145","Franklin","Buddhism",0.00687436570093637
"146","Lyons","Buddhism",0.00486909477345184
"147","Solomon","Buddhism",0.0294689800210305
"148","Banks","Anglican",0.112325584380576
"149","Barton","Anglican",0.0470986404396876
"150","Bennelong","Anglican",0.0893055851504605
"151","Berowra","Anglican",0.169709789438871
"152","Blaxland","Anglican",0.0437944501070811
"153","Bradfield","Anglican",0.165036972325356
"154","Calare","Anglican",0.220325112524644
"155","Chifley","Anglican",0.103165565930312
"156","Cook","Anglican",0.177834347269563
"157","Cowper","Anglican",0.211723501609957
"158","Cunningham","Anglican",0.151859956236324
"159","Dobell","Anglican",0.23012066179
"160","Eden-Monaro","Anglican",0.203657511590706
"161","Farrer","Anglican",0.177241126966703
"162","Fowler","Anglican",0.0400462751545042
"163","Gilmore","Anglican",0.234245792230583
"164","Grayndler","Anglican",0.0740805147378489
"165","Greenway","Anglican",0.106005280271893
"166","Hughes","Anglican",0.195434163380438
"167","Hume","Anglican",0.260569691256812
"168","Hunter","Anglican",0.251422230158933
"169","Kingsford Smith","Anglican",0.0836028552298596
"170","Lindsay","Anglican",0.188196579554189
"171","Lyne","Anglican",0.280203464393731
"172","Macarthur","Anglican",0.162482949320133
"173","Mackellar","Anglican",0.188900028934212
"174","Macquarie","Anglican",0.204717227921578
"175","McMahon","Anglican",0.0760442505114881
"176","Mitchell","Anglican",0.142516406102353
"177","New England","Anglican",0.290743527214238
"178","Newcastle","Anglican",0.165964903104323
"179","North Sydney","Anglican",0.12580018077585
"180","Page","Anglican",0.203699397260963
"181","Parkes","Anglican",0.247208475050238
"182","Parramatta","Anglican",0.0618720480893087
"183","Paterson","Anglican",0.246848375033733
"184","Reid","Anglican",0.0584294198415193
"185","Richmond","Anglican",0.175289216744162
"186","Riverina","Anglican",0.230960312722651
"187","Robertson","Anglican",0.209527403338854
"188","Shortland","Anglican",0.221813097825335
"189","Sydney","Anglican",0.0556995918693582
"190","Warringah","Anglican",0.168970970522558
"191","Watson","Anglican",0.0351532556090752
"192","Wentworth","Anglican",0.105975374959746
"193","Werriwa","Anglican",0.0670415250220878
"194","Whitlam","Anglican",0.218216443393748
"195","Aston","Anglican",0.0916716905115499
"196","Ballarat","Anglican",0.110504068408822
"197","Batman","Anglican",0.0384591637647872
"198","Bendigo","Anglican",0.12765320977724
"199","Bruce","Anglican",0.0512448172421041
"200","Calwell","Anglican",0.0423624294161034
"201","Casey","Anglican",0.111735287113178
"202","Chisholm","Anglican",0.0619826920387027
"203","Corangamite","Anglican",0.115922482650255
"204","Corio","Anglican",0.104499913283616
"205","Deakin","Anglican",0.0889300728365368
"206","Dunkley","Anglican",0.138727020583272
"207","Flinders","Anglican",0.158868519459537
"208","Gellibrand","Anglican",0.0518227800787349
"209","Gippsland","Anglican",0.167304048716031
"210","Goldstein","Anglican",0.116875639280077
"211","Gorton","Anglican",0.0530119368027448
"212","Higgins","Anglican",0.100498889192033
"213","Holt","Anglican",0.066275067045591
"214","Hotham","Anglican",0.0606351053000357
"215","Indi","Anglican",0.159177646362255
"216","Isaacs","Anglican",0.0901458519797799
"217","Jagajaga","Anglican",0.0929080473598913
"218","Kooyong","Anglican",0.0948424679674551
"219","La Trobe","Anglican",0.103602713980824
"220","Lalor","Anglican",0.0663853193608042
"221","Mallee","Anglican",0.124502135765412
"222","Maribyrnong","Anglican",0.0409333181105296
"223","McEwen","Anglican",0.0996860319857883
"224","McMillan","Anglican",0.142139988525531
"225","Melbourne","Anglican",0.0391815640985076
"226","Melbourne Ports","Anglican",0.0621472442267842
"227","Menzies","Anglican",0.0789035518231723
"228","Murray","Anglican",0.14252989007058
"229","Scullin","Anglican",0.0511234416489051
"230","Wannon","Anglican",0.121243608527943
"231","Wills","Anglican",0.0379725197319171
"232","Blair","Anglican",0.157677569585271
"233","Bonner","Anglican",0.130376380015504
"234","Bowman","Anglican",0.179069451057751
"235","Brisbane","Anglican",0.104951002526146
"236","Capricornia","Anglican",0.17401804670913
"237","Dawson","Anglican",0.161413318150122
"238","Dickson","Anglican",0.154626343038087
"239","Fadden","Anglican",0.171727594339623
"240","Fairfax","Anglican",0.159556375152317
"241","Fisher","Anglican",0.174093574761354
"242","Flynn","Anglican",0.191854033751801
"243","Forde","Anglican",0.154598944049101
"244","Griffith","Anglican",0.105531655689649
"245","Groom","Anglican",0.188713339513388
"246","Herbert","Anglican",0.150139376742209
"247","Hinkler","Anglican",0.197112534929013
"248","Kennedy","Anglican",0.158918619766529
"249","Leichhardt","Anglican",0.151873193919601
"250","Lilley","Anglican",0.119813354786806
"251","Longman","Anglican",0.172503331382243
"252","Maranoa","Anglican",0.221912558787668
"253","McPherson","Anglican",0.161609964309511
"254","Moncrieff","Anglican",0.148437791630893
"255","Moreton","Anglican",0.0860246344996869
"256","Oxley","Anglican",0.106600166658497
"257","Petrie","Anglican",0.146721954087758
"258","Rankin","Anglican",0.105653848300497
"259","Ryan","Anglican",0.128517080895274
"260","Wide Bay","Anglican",0.175852544795903
"261","Wright","Anglican",0.178116430256269
"262","Adelaide","Anglican",0.0815273919800296
"263","Barker","Anglican",0.0945806745060267
"264","Boothby","Anglican",0.110425409363943
"265","Grey","Anglican",0.108196424341234
"266","Hindmarsh","Anglican",0.0887247674272528
"267","Kingston","Anglican",0.116058631040917
"268","Makin","Anglican",0.105435647736317
"269","Mayo","Anglican",0.122122721152408
"270","Port Adelaide","Anglican",0.0735131991810329
"271","Sturt","Anglican",0.0841959185862541
"272","Wakefield","Anglican",0.119860652034338
"273","Brand","Anglican",0.164676189256909
"274","Burt","Anglican",0.121842839622474
"275","Canning","Anglican",0.204644601045069
"276","Cowan","Anglican",0.122110913798479
"277","Curtin","Anglican",0.16054680401996
"278","Durack","Anglican",0.138811865936049
"279","Forrest","Anglican",0.184593416707271
